instant_book,satisfaction_guest,rating_checkin,bed_type,person_capacity,accuracy_rating,is_superhost,room_type,hosting_id,rating_location,url,amenities,rating_communication,cancel_policy,rating_cleanliness,nightly_price,host_id,response_rate,price,response_time,rev_count
True,83.0,9.0,Real Bed,2,9.0,False,Entire home/apt,8752175,9.0,https://www.airbnb.com.br/rooms/8752175,"[1, 3, 11, 14, 21, 39, 49, 50]",9.0,4,9.0,R$65,34324015,0.8999999761581421,21.03546255364043,43206.0,24
True,93.0,9.0,Real Bed,2,10.0,False,Entire home/apt,8734605,10.0,https://www.airbnb.com.br/rooms/8734605,"[2, 4, 8, 9, 11, 21, 28, 31, 39, 40, 44, 50]",9.0,5,9.0,R$100,45828198,1.0,32.36225008252374,1494.5,35
False,99.0,10.0,Real Bed,2,10.0,True,Private room,13003782,10.0,https://www.airbnb.com.br/rooms/13003782,"[1, 2, 3, 4, 8, 11, 14, 17, 18, 21, 28, 31, 32, 33, 37, 39, 40, 42, 43, 44, 45, 46, 47, 50]",10.0,4,10.0,R$80,16264134,1.0,25.889800066018985,24042.5,68
False,100.0,9.0,Real Bed,2,8.0,False,Entire home/apt,15583986,8.0,https://www.airbnb.com.br/rooms/15583986,"[1, 4, 8, 9, 11, 28, 39, 40, 41, 47, 49, 50]",9.0,3,10.0,R$53,100413239,1.0,17.15199254373758,10945.5,2
True,,,Real Bed,2,,False,Private room,16330135,,https://www.airbnb.com.br/rooms/16330135,"[1, 4, 33, 39, 40, 42, 44, 47, 49, 50]",,3,,R$90,106889623,,29.126025074271364,,0
True,93.0,10.0,Real Bed,2,10.0,False,Private room,3793031,10.0,https://www.airbnb.com.br/rooms/3793031,"[3, 4, 8, 12, 14, 17, 19, 21, 28, 31, 33, 37, 39, 40, 41, 42, 43, 44, 46, 47]",10.0,3,10.0,R$50,19475479,0.875,16.18112504126187,14946.5,11
False,92.0,10.0,Real Bed,2,8.0,False,Private room,886464,8.0,https://www.airbnb.com.br/rooms/886464,"[1, 3, 4, 8, 17, 33, 35]",10.0,5,9.0,R$30,1204242,1.0,9.708675024757124,3366.0,41
True,100.0,10.0,Real Bed,1,10.0,False,Entire home/apt,16779671,9.0,https://www.airbnb.com.br/rooms/16779671,"[1, 4, 8, 9, 11, 12, 15, 16, 32, 33, 34, 37, 38, 40, 41, 42, 44, 45, 46, 47, 49, 50, 57]",10.0,3,10.0,R$50,111443810,0.9089999794960022,16.18112504126187,682.0,2
True,97.0,10.0,Real Bed,1,10.0,False,Private room,14994246,10.0,https://www.airbnb.com.br/rooms/14994246,"[1, 3, 4, 7, 8, 9, 11, 15, 17, 21, 33, 46, 47]",10.0,4,9.0,R$49,94541024,1.0,15.85750254043663,1372.5,6
False,98.0,10.0,Real Bed,2,10.0,True,Private room,16002489,10.0,https://www.airbnb.com.br/rooms/16002489,"[1, 3, 4, 8, 11, 14, 21, 28, 33, 39, 40, 44, 46, 49, 50]",10.0,4,10.0,R$48,104023023,1.0,15.533880039611395,1435.0,31
False,95.0,10.0,Real Bed,2,9.0,True,Private room,2681638,10.0,https://www.airbnb.com.br/rooms/2681638,"[3, 4, 7, 8, 9, 28, 33]",10.0,5,9.0,R$100,5023576,0.8889999985694885,32.36225008252374,11276.0,25
True,80.0,10.0,Real Bed,3,10.0,False,Entire home/apt,17542191,10.0,https://www.airbnb.com.br/rooms/17542191,"[1, 8, 32, 33, 39, 40, 42, 45, 46]",10.0,4,8.0,R$45,51056764,1.0,14.563012537135682,257.0,2
True,100.0,10.0,Real Bed,2,10.0,False,Private room,15098716,10.0,https://www.airbnb.com.br/rooms/15098716,"[1, 2, 3, 4, 8, 28, 31, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",10.0,3,10.0,R$62,94603432,0.875,20.06459505116472,15842.0,1
True,100.0,10.0,Real Bed,2,10.0,False,Private room,15856104,9.0,https://www.airbnb.com.br/rooms/15856104,"[1, 3, 4, 8, 16, 28, 31, 33, 39, 40, 41, 42, 44, 45, 46, 47, 50]",10.0,3,9.0,R$70,102750902,1.0,22.653575057766613,641.5,5
True,,,Real Bed,2,,False,Private room,17733421,,https://www.airbnb.com.br/rooms/17733421,"[1, 4, 8, 9, 11, 31, 33, 40, 44, 46, 47, 50]",,3,,R$64,120366926,,20.71184005281519,,0
False,89.0,10.0,Pull-out Sofa,1,10.0,False,Private room,3060863,8.0,https://www.airbnb.com.br/rooms/3060863,"[2, 4, 28]",9.0,4,10.0,R$70,5952524,1.0,22.653575057766613,9385.0,9
True,100.0,10.0,Real Bed,2,10.0,False,Private room,17511994,10.0,https://www.airbnb.com.br/rooms/17511994,"[1, 4, 5, 8, 28, 33, 40, 42, 44, 45, 46, 47, 49, 50, 56]",10.0,4,10.0,R$40,68942353,1.0,12.944900033009493,1500.0,1
False,95.0,10.0,Real Bed,2,10.0,False,Entire home/apt,16629872,9.0,https://www.airbnb.com.br/rooms/16629872,"[1, 3, 4, 5, 7, 8, 9, 11, 15, 21, 30, 33, 40, 41, 44, 46, 47, 49, 50]",10.0,5,9.0,R$119,76444390,1.0,38.51107759820325,479.0,4
True,,,Real Bed,1,,False,Private room,16440574,,https://www.airbnb.com.br/rooms/16440574,"[4, 8, 33, 40, 44, 46, 47, 49, 50]",,3,,R$50,26429046,,16.18112504126187,,0
False,100.0,10.0,Real Bed,1,10.0,False,Shared room,17345365,10.0,https://www.airbnb.com.br/rooms/17345365,"[3, 4, 11, 21, 49]",10.0,3,10.0,R$62,117174339,0.8330000042915344,20.06459505116472,863.5,1
True,82.0,9.0,Real Bed,4,9.0,False,Entire home/apt,11057634,9.0,https://www.airbnb.com.br/rooms/11057634,"[1, 3, 4, 6, 8, 11, 12, 17, 19, 31, 33, 39, 40, 43, 46, 47, 50, 57]",9.0,3,8.0,R$93,21105962,1.0,30.096892576747077,208.0,26
True,100.0,10.0,Real Bed,1,10.0,False,Private room,16142791,10.0,https://www.airbnb.com.br/rooms/16142791,"[1, 4, 7, 8, 9, 11, 16, 21, 33, 39, 40, 42, 44, 45, 46, 47, 49, 50]",10.0,3,10.0,R$65,105331604,0.8000000119209291,21.03546255364043,2359.5,11
False,99.0,10.0,Real Bed,3,10.0,True,Private room,9809270,10.0,https://www.airbnb.com.br/rooms/9809270,"[1, 2, 3, 4, 5, 8, 28, 31, 33, 37, 39, 40, 41, 43, 44, 45, 46]",10.0,4,10.0,R$67,19476571,0.9380000233650208,21.682707555290904,7916.5,36
False,96.0,10.0,Real Bed,2,10.0,False,Private room,17137862,10.0,https://www.airbnb.com.br/rooms/17137862,"[1, 4, 8, 9, 11, 37, 40, 41, 49, 50]",10.0,3,10.0,R$60,22526438,1.0,19.417350049514248,269.0,5
True,100.0,10.0,Real Bed,2,10.0,False,Entire home/apt,16923638,10.0,https://www.airbnb.com.br/rooms/16923638,"[1, 2, 5, 8, 9, 21, 31, 35, 38, 40]",10.0,4,10.0,R$95,30966762,1.0,30.744137578397552,2494.0,4
True,100.0,10.0,Real Bed,1,10.0,False,Private room,16910037,10.0,https://www.airbnb.com.br/rooms/16910037,"[1, 2, 3, 4, 8, 14, 21, 28, 33, 39, 40, 42, 44, 45, 46, 47, 49, 50]",10.0,4,10.0,R$80,86063037,1.0,25.889800066018985,2035.0,3
True,94.0,10.0,Real Bed,3,10.0,True,Entire home/apt,9575716,9.0,https://www.airbnb.com.br/rooms/9575716,"[1, 3, 4, 8, 11, 12, 17, 18, 21, 25, 28, 31, 33, 39, 40, 41, 43, 44, 45, 46, 47, 50]",10.0,4,10.0,R$60,12459874,1.0,19.417350049514248,1450.0,17
True,,,Real Bed,2,,False,Entire home/apt,17246458,,https://www.airbnb.com.br/rooms/17246458,[31],,3,,R$149,11047443,0.8999999761581421,48.219752622960364,858.0,0
True,100.0,10.0,Real Bed,3,10.0,False,Private room,16845251,10.0,https://www.airbnb.com.br/rooms/16845251,"[1, 3, 4, 8, 9, 11, 14, 21, 28, 31, 32, 33, 34, 40, 42, 43, 44, 46, 47, 51, 55]",10.0,5,10.0,R$58,112162122,1.0,18.77010504786377,87.5,1
True,90.0,10.0,Real Bed,2,10.0,False,Private room,12931282,10.0,https://www.airbnb.com.br/rooms/12931282,"[1, 2, 3, 4, 8, 28, 33, 40, 44, 45, 46, 47, 49, 50]",8.0,4,10.0,R$65,70941178,1.0,21.03546255364043,930.0,4
True,100.0,10.0,Real Bed,2,10.0,False,Private room,15986148,9.0,https://www.airbnb.com.br/rooms/15986148,"[1, 2, 8, 9, 21, 28, 33, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50]",10.0,4,10.0,R$40,103867652,1.0,12.944900033009493,3344.0,7
False,,,Real Bed,2,,False,Entire home/apt,16896671,,https://www.airbnb.com.br/rooms/16896671,"[1, 4, 5, 7, 8, 9, 11, 21, 31, 32, 39, 40, 42, 47, 50]",,3,,R$90,13737453,1.0,29.126025074271364,909.5,0
True,100.0,10.0,Real Bed,4,10.0,False,Entire home/apt,16898288,10.0,https://www.airbnb.com.br/rooms/16898288,"[1, 4, 5, 8, 15, 21, 31, 37, 40, 41, 49, 50]",10.0,4,10.0,R$150,8064549,1.0,48.54337512378561,588.5,2
True,100.0,10.0,Real Bed,2,10.0,False,Entire home/apt,14436427,10.0,https://www.airbnb.com.br/rooms/14436427,"[9, 40]",10.0,3,10.0,R$50,49512914,1.0,16.18112504126187,246.0,4
True,,,Real Bed,2,,False,Private room,16723811,,https://www.airbnb.com.br/rooms/16723811,"[1, 4, 5, 7, 9, 15, 21, 31, 33, 34, 38, 39, 40, 41, 42, 44, 45, 47, 50]",,5,,R$150,110861014,0.6669999957084656,48.54337512378561,2113.0,0
False,60.0,10.0,Real Bed,3,6.0,False,Private room,16251328,6.0,https://www.airbnb.com.br/rooms/16251328,"[8, 9, 12, 28, 31, 33, 39, 40, 42, 44, 47]",10.0,3,8.0,R$52,42299606,0.8889999985694885,16.828370042912344,496.0,1
False,97.0,10.0,Real Bed,2,10.0,True,Entire home/apt,6461595,10.0,https://www.airbnb.com.br/rooms/6461595,"[1, 2, 3, 4, 5, 6, 7, 8, 14, 15, 21, 28, 31, 35, 36, 40, 41, 43, 44, 45, 46, 47, 50, 51, 55]",10.0,5,10.0,R$125,13515505,1.0,40.452812603154676,3042.0,24
False,95.0,10.0,Real Bed,3,10.0,False,Private room,16489790,10.0,https://www.airbnb.com.br/rooms/16489790,"[1, 4, 8, 9, 33, 40]",10.0,3,10.0,R$120,65907131,1.0,38.834700099028495,1132.0,4
True,,,Real Bed,1,,False,Private room,17791227,,https://www.airbnb.com.br/rooms/17791227,"[1, 3, 4, 8, 16, 33, 37, 38, 40, 42, 44, 45, 46, 49, 50, 56]",,3,,R$72,35544721,,23.30082005941709,,0
False,97.0,10.0,Real Bed,1,10.0,True,Private room,7108138,10.0,https://www.airbnb.com.br/rooms/7108138,"[1, 3, 4, 8, 21, 28, 31, 39, 40, 41]",10.0,4,10.0,R$41,10640179,1.0,13.268522533834732,5049.5,23
True,,,Real Bed,1,,False,Private room,17822934,,https://www.airbnb.com.br/rooms/17822934,"[4, 8, 9, 33, 34, 40, 44, 46, 47, 50, 56]",,3,,R$100,34763180,1.0,32.36225008252374,25259.0,0
False,95.0,10.0,Real Bed,4,10.0,False,Entire home/apt,2803556,9.0,https://www.airbnb.com.br/rooms/2803556,"[1, 2, 3, 4, 8, 9, 14, 21, 28, 31, 32, 33, 39, 44, 46]",10.0,4,10.0,R$169,14338299,1.0,54.692202639465116,5962.0,43
True,91.0,10.0,Real Bed,1,9.0,False,Private room,8517689,10.0,https://www.airbnb.com.br/rooms/8517689,"[4, 6, 8, 9, 33, 34, 40, 42, 43, 44, 46, 47, 49, 50]",10.0,3,9.0,R$50,18744043,1.0,16.18112504126187,2752.5,14
True,100.0,10.0,Real Bed,4,10.0,False,Entire home/apt,16808143,10.0,https://www.airbnb.com.br/rooms/16808143,"[1, 4, 8, 9, 11, 21, 31, 39, 40, 41, 44, 47]",10.0,3,10.0,R$95,111006959,0.9290000200271606,30.744137578397552,299.5,1
False,,,Real Bed,1,,False,Shared room,15179044,,https://www.airbnb.com.br/rooms/15179044,"[1, 4, 8, 11, 12, 31, 32, 33, 40, 41, 44, 46, 47, 50]",,3,,R$33,96345895,,10.679542527232831,,0
True,80.0,10.0,Real Bed,4,8.0,False,Entire home/apt,10746421,9.0,https://www.airbnb.com.br/rooms/10746421,"[1, 3, 4, 6, 8, 14, 21, 28, 33, 35, 39, 41, 43, 44, 47]",10.0,5,8.0,R$79,921016,1.0,25.566177565193755,232.5,4
False,100.0,10.0,Real Bed,2,10.0,True,Private room,7384989,10.0,https://www.airbnb.com.br/rooms/7384989,"[1, 2, 3, 4, 8, 14, 21, 28, 33, 34, 37, 39, 40, 41, 44, 45, 46, 49, 50]",10.0,4,10.0,R$100,11569093,1.0,32.36225008252374,12297.5,28
True,80.0,8.0,Real Bed,1,8.0,False,Private room,16669558,10.0,https://www.airbnb.com.br/rooms/16669558,"[1, 4, 7, 8, 9, 15, 21, 25, 31, 32, 33, 35, 36, 37, 38, 39, 41, 42, 44, 45, 46, 47, 50]",8.0,3,8.0,R$73,85105436,0.699999988079071,23.62444256024233,13658.5,2
True,,,Real Bed,2,,False,Private room,17759629,,https://www.airbnb.com.br/rooms/17759629,"[1, 2, 4, 8, 11, 12, 21, 28, 33, 40, 44, 46, 49, 50]",,3,,R$75,522911,,24.271687561892804,,0
False,98.0,10.0,Real Bed,3,10.0,True,Entire home/apt,7401230,9.0,https://www.airbnb.com.br/rooms/7401230,"[1, 4, 8, 9, 28, 33, 35, 38, 39, 40, 41, 44, 46, 47, 49, 50]",10.0,3,10.0,R$59,38779455,1.0,19.093727548689007,1826.5,13
False,100.0,10.0,Real Bed,2,10.0,False,Private room,15799302,10.0,https://www.airbnb.com.br/rooms/15799302,"[2, 3, 4, 8, 21, 28, 33, 39, 40, 41, 42, 44, 45, 46]",10.0,3,10.0,R$65,102222163,0.6919999718666077,21.03546255364043,28044.0,4
True,93.0,10.0,Real Bed,3,9.0,False,Private room,15311177,10.0,https://www.airbnb.com.br/rooms/15311177,"[1, 4, 8, 11, 14, 17, 19, 21, 30, 31, 42, 45, 46, 50]",10.0,3,8.0,R$47,41926521,0.8000000119209291,15.210257538786154,34757.5,4
False,89.0,10.0,Real Bed,3,9.0,False,Entire home/apt,793781,8.0,https://www.airbnb.com.br/rooms/793781,"[1, 4, 8, 21, 31, 33, 40, 50]",10.0,5,9.0,R$139,4181496,0.75,44.983527614708,5800.5,17
False,,,Real Bed,1,,False,Entire home/apt,16706920,,https://www.airbnb.com.br/rooms/16706920,"[1, 4, 8, 21, 31, 33, 40, 47, 50]",,3,,R$35,110690923,1.0,11.326787528883306,869.0,0
True,100.0,10.0,Real Bed,2,10.0,False,Entire home/apt,17191280,10.0,https://www.airbnb.com.br/rooms/17191280,"[4, 8, 11, 33, 40, 42, 44, 47, 49, 50]",10.0,5,10.0,R$60,115723776,0.9330000281333924,19.417350049514248,4624.0,2
False,97.0,10.0,Real Bed,3,10.0,False,Private room,10475403,10.0,https://www.airbnb.com.br/rooms/10475403,"[1, 3, 4, 6, 7, 8, 9, 12, 14, 15, 21, 28, 31, 33, 40, 41, 42, 43, 44, 46, 47]",10.0,4,10.0,R$99,29056947,1.0,32.0386275816985,2825.0,21
True,,,Real Bed,3,,False,Private room,17386522,,https://www.airbnb.com.br/rooms/17386522,"[1, 3, 4, 8, 16, 28, 33, 40, 41, 42, 44, 46, 47]",,5,,R$58,117500429,1.0,18.77010504786377,1012.0,0
True,93.0,9.0,Real Bed,3,9.0,False,Entire home/apt,11291141,10.0,https://www.airbnb.com.br/rooms/11291141,"[1, 3, 4, 8, 14, 21, 28, 33, 40, 41, 44, 46, 47, 49, 50]",9.0,5,10.0,R$108,921016,1.0,34.951230089125644,232.5,9
True,92.0,9.0,Real Bed,3,9.0,False,Private room,765958,9.0,https://www.airbnb.com.br/rooms/765958,"[1, 2, 3, 4, 5, 6, 7, 8, 12, 17, 18, 19, 28, 31, 32, 33]",9.0,3,9.0,R$100,4035509,1.0,32.36225008252374,28639.0,32
True,93.0,10.0,Real Bed,4,10.0,False,Entire home/apt,13069679,9.0,https://www.airbnb.com.br/rooms/13069679,"[1, 3, 4, 8, 9, 11, 14, 28, 31, 39, 40, 42, 45, 46, 47, 51, 55]",10.0,3,9.0,R$70,15365370,1.0,22.653575057766613,4968.0,22
False,95.0,10.0,Real Bed,2,10.0,False,Entire home/apt,4126475,10.0,https://www.airbnb.com.br/rooms/4126475,"[1, 4, 5, 7, 8, 9, 14, 21, 28, 31, 39, 40, 47]",10.0,4,10.0,R$110,15354662,0.8999999761581421,35.59847509077611,2253.5,12
True,87.0,9.0,Real Bed,1,9.0,False,Private room,4195301,9.0,https://www.airbnb.com.br/rooms/4195301,"[1, 3, 4, 8, 12, 14, 17, 19, 21, 28, 31, 33, 37, 38, 39, 40, 41, 42, 43, 44, 46, 47]",9.0,3,9.0,R$45,19475479,0.875,14.563012537135682,14946.5,15
True,100.0,10.0,Real Bed,4,10.0,False,Entire home/apt,17364894,8.0,https://www.airbnb.com.br/rooms/17364894,"[1, 4, 8, 15, 21, 31, 33, 37, 40, 41, 49, 50]",10.0,4,10.0,R$100,8064549,1.0,32.36225008252374,588.5,2
True,95.0,10.0,Real Bed,2,10.0,False,Private room,15428579,9.0,https://www.airbnb.com.br/rooms/15428579,"[1, 3, 4, 8, 9, 11, 12, 17, 18, 28, 33, 39, 40, 42, 43, 44, 45, 46, 47, 49, 50]",10.0,3,10.0,R$35,98901471,1.0,11.326787528883306,334.0,8
True,82.0,9.0,Real Bed,2,8.0,False,Entire home/apt,9043580,8.0,https://www.airbnb.com.br/rooms/9043580,"[1, 4, 11, 14, 21, 31, 39]",9.0,4,9.0,R$65,34324015,0.8999999761581421,21.03546255364043,43206.0,13
True,,,Real Bed,2,,False,Private room,15312971,,https://www.airbnb.com.br/rooms/15312971,"[3, 4, 8, 12, 14, 17, 19, 21, 28, 31, 33, 37, 39, 40, 41, 42, 43, 44, 46, 47, 57]",,3,,R$70,19475479,0.875,22.653575057766613,14946.5,0
True,92.0,10.0,Real Bed,4,9.0,False,Private room,15023413,10.0,https://www.airbnb.com.br/rooms/15023413,"[1, 3, 4, 6, 7, 8, 9, 11, 14, 15, 17, 18, 21, 28, 31, 33, 37, 40, 41, 43, 44, 45, 46, 47, 50]",10.0,3,9.0,R$55,94541024,1.0,17.799237545388056,1372.5,21
True,100.0,10.0,Real Bed,4,10.0,False,Private room,15023318,10.0,https://www.airbnb.com.br/rooms/15023318,"[1, 3, 4, 6, 7, 8, 9, 14, 15, 17, 18, 21, 28, 31, 33, 39, 40, 44, 46, 47]",10.0,4,9.0,R$55,94541024,1.0,17.799237545388056,1372.5,3
True,96.0,10.0,Real Bed,5,10.0,True,Entire home/apt,14844249,9.0,https://www.airbnb.com.br/rooms/14844249,"[1, 2, 3, 4, 8, 9, 14, 31, 33, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 51, 55]",10.0,5,10.0,R$75,42328900,1.0,24.271687561892804,125.5,30
False,100.0,10.0,Real Bed,2,10.0,True,Entire home/apt,14299994,10.0,https://www.airbnb.com.br/rooms/14299994,"[1, 3, 4, 5, 7, 8, 9, 14, 21, 28, 40, 44, 46, 47, 49, 50]",10.0,4,10.0,R$120,87349558,1.0,38.834700099028495,7541.0,26
True,100.0,10.0,Real Bed,1,10.0,False,Private room,16903830,10.0,https://www.airbnb.com.br/rooms/16903830,"[1, 4, 40, 49, 50]",10.0,3,8.0,R$100,50136725,1.0,32.36225008252374,80.0,1
True,100.0,10.0,Real Bed,2,10.0,False,Private room,16528350,10.0,https://www.airbnb.com.br/rooms/16528350,"[1, 3, 4, 7, 8, 9, 12, 15, 16, 17, 21, 31, 32, 33, 39, 40, 41]",10.0,3,10.0,R$75,108708733,1.0,24.271687561892804,92.5,5
False,100.0,10.0,Real Bed,2,10.0,False,Private room,16550943,10.0,https://www.airbnb.com.br/rooms/16550943,"[4, 8, 12, 21, 39, 44, 46, 47, 49, 50]",10.0,3,10.0,R$50,108958319,0.699999988079071,16.18112504126187,28987.5,3
True,,,Real Bed,2,,False,Private room,17830680,,https://www.airbnb.com.br/rooms/17830680,"[1, 3, 4, 8, 11, 17, 33, 40, 41]",,3,,R$31,121939992,,10.032297525582358,,0
True,,,Real Bed,2,,False,Private room,17819773,,https://www.airbnb.com.br/rooms/17819773,"[49, 50]",,3,,R$216,5522702,1.0,69.90246017825127,85294.0,0
False,100.0,10.0,Real Bed,4,10.0,False,Entire home/apt,16844779,10.0,https://www.airbnb.com.br/rooms/16844779,"[1, 4, 8, 14, 21, 28, 33, 37, 39, 40, 41, 44, 46, 49, 50]",10.0,3,10.0,R$80,112130873,1.0,25.889800066018985,542.5,8
True,100.0,8.0,Real Bed,2,9.0,False,Private room,14918063,7.0,https://www.airbnb.com.br/rooms/14918063,"[4, 8, 9, 11, 31, 33, 40, 41, 44, 46, 47]",10.0,3,9.0,R$60,93744715,0.8000000119209291,19.417350049514248,46663.0,2
True,,,Airbed,3,,False,Entire home/apt,16063198,,https://www.airbnb.com.br/rooms/16063198,"[1, 5, 7, 9, 21, 31, 40, 44, 47, 50]",,4,,R$80,104630151,0.8999999761581421,25.889800066018985,5830.5,0
True,80.0,9.0,Real Bed,2,9.0,False,Private room,8753571,9.0,https://www.airbnb.com.br/rooms/8753571,"[1, 3, 14, 21, 31, 39]",8.0,4,8.0,R$65,34324015,0.8999999761581421,21.03546255364043,43206.0,9
